"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"HITECH","Hi-Tech Pipes Limited","Fund Raising","To consider Fund Raising","19-Aug-2024"
"INDTERRAIN","Indian Terrain Fashions Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","19-Aug-2024"
"SURAJEST","Suraj Estate Developers Limited","Fund Raising","To consider Fund Raising by way of issue of equity shares/ preference shares/ bonds/ debentures/ non-convertible debt instruments/warrants/ any other securities through preferential issue","19-Aug-2024"
"BCG","Brightcom Group Limited","Other business matters","Intimation of Board Meeting to be held on August 20, 2024 of Brightcom Group Limited;","20-Aug-2024"
"CMICABLES","CMI Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","20-Aug-2024"
"HINDZINC","Hindustan Zinc Limited","Dividend","To consider and approve the Second Interim Dividend on equity shares, if any, for the Financial Year 2024-25.","20-Aug-2024"
"OSIAHYPER","Osia Hyper Retail Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","20-Aug-2024"
"WEIZMANIND","Weizmann Limited","Buyback","To consider buyback for equity shares","20-Aug-2024"
"JPINFRATEC","Jaypee Infratech Limited","Other business matters","To consider and if thought fit, to approve the Financial Statements as on 07th March 2023 (i.e. the NCLT order date approving the Resolution Plan), which was considered as  Appointed Date  by the successful Resolution Applicant to consider impact of the approved Resolution Plan in the books of accounts of the Company pursuant to Para 34.12 of the Resolution Plan.","21-Aug-2024"
"PGHL","Procter & Gamble Health Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2024 and dividend (if any)","21-Aug-2024"
"AKG","Akg Exim Limited","Other business matters","To consider other business matters","22-Aug-2024"
"APLLTD","Alembic Pharmaceuticals Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2024","22-Aug-2024"
"POWERMECH","Power Mech Projects Limited","Bonus/Other business matters","To consider bonus and other business matters","22-Aug-2024"
"BIKAJI","Bikaji Foods International Limited","Other business matters","To consider other business matters- Acquisition","23-Aug-2024"
"TIJARIA","Tijaria Polypipes Limited","Other business matters",")  to consider the Following Businesses1. To finalize the date, day, venue and time for convening the Annual General Meeting of the shareholders of the Company for the financial year ended on 31st March, 2024. 2. To consider and approve the Notice of 18th Annual General Meeting. 3. To consider and adopt Board s Report of the Company for the Financial Year 2023-24.4. To consider appointment of Scrutinizer to oversee the e-voting process of the Company at the Annual General Meeting; 5. To decide the date of Book Closure for the purpose of Annual General Meeting of the Company; 6. Any other matter with the permission of Chair","23-Aug-2024"
"GILLETTE","Gillette India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2024 and recommend dividend, if any","28-Aug-2024"
"GILLETTE","Gillette India Limited","Financial Results/Dividend","With reference to the announcement dated June 27,2024 and in terms of Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015, we would like to inform you that a meeting of the Board of Directors of the Company is re- scheduled for Thursday, August 29, 2024, inter alia, to consider and approve Audited Financial Results and Statements for the Financial Year ended June 30, 2024 and to consider recommendation of dividend, if any.","28-Aug-2024"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","Financial Results/Dividend","PGHH : 28-Aug-2024 :  The Company has informed the Exchange that a Board meeting to be held on August 29, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on August 28, 2024, To consider and approve the financial results for the period ended Jun 30, 2024 and dividend","29-Aug-2024"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","Financial Results/Dividend","To consider and approve the financial results for the financial year ended June 30, 2024 and to consider recommendation of dividend , if any.","29-Aug-2024"
"JAIPURKURT","Nandani Creation Limited","Other business matters","To consider other business matters","01-Sep-2024"
